unique_id,ds,y,volume
ethereum,2025-05-18,2475.054393369692,17185510890.702347
ethereum,2025-05-19,2465.3409856139087,24797434472.364086
ethereum,2025-05-20,2526.989643891319,25363871274.82505
ethereum,2025-05-21,2524.2743433146065,22871462735.4168
ethereum,2025-05-22,2558.9502343769486,32697477527.54695
ethereum,2025-05-23,2657.1674447566115,29592612076.50553
ethereum,2025-05-24,2519.813809045145,30047329191.503662
ethereum,2025-05-25,2529.442984228436,10744994421.192684
ethereum,2025-05-26,2546.6201163370915,13814697849.726278
ethereum,2025-05-27,2562.172928639224,13350148034.293625
ethereum,2025-05-28,2662.0940568241435,26434151855.253853
ethereum,2025-05-29,2676.2674124507,18008588586.284103
ethereum,2025-05-30,2633.139206528669,27021441335.5195
ethereum,2025-05-31,2524.4762348050726,22927149330.30469
ethereum,2025-06-01,2532.3627853090866,13006751258.18768
ethereum,2025-06-02,2538.3300584367485,11338340571.11249
ethereum,2025-06-03,2609.737253959435,15623967732.418655
ethereum,2025-06-04,2595.4689570063,15955008730.33818
ethereum,2025-06-05,2610.343189828259,16809606446.176416
ethereum,2025-06-06,2421.601103763502,25849573159.64817
ethereum,2025-06-07,2481.4039836690267,18395107930.47655
ethereum,2025-06-08,2526.291995889778,9535426814.691929
ethereum,2025-06-09,2508.784123584585,10206893115.537256
ethereum,2025-06-10,2685.0001850413178,19485734665.28548
ethereum,2025-06-11,2808.503208314919,38281210143.95115
ethereum,2025-06-12,2776.1371915822333,27369030837.548595
ethereum,2025-06-13,2653.158968452672,26068993569.96989
ethereum,2025-06-14,2577.04861752583,38576471746.00814
ethereum,2025-06-15,2534.070219535952,12077031034.29152
ethereum,2025-06-16,2547.845604092044,11678912429.510712
ethereum,2025-06-17,2561.329843569428,24222149649.172424
ethereum,2025-06-18,2514.986700576147,25926506708.04021
ethereum,2025-06-19,2521.3334233964915,17800721253.243202
ethereum,2025-06-20,2522.1791903642184,10392473841.155851
ethereum,2025-06-21,2405.695434213183,20482816663.29469
ethereum,2025-06-22,2270.581996055585,16155611764.84833
ethereum,2025-06-23,2227.4287266371684,28181442532.31588
ethereum,2025-06-24,2423.899644268608,25494295400.420887
ethereum,2025-06-25,2446.539301545049,19669025068.963604
ethereum,2025-06-26,2417.2267855277296,15513055665.262428
ethereum,2025-06-27,2415.031864876594,16271811388.723804
ethereum,2025-06-28,2423.0302896731746,13100825617.816572
ethereum,2025-06-29,2437.133001780241,5787313890.541637
ethereum,2025-06-30,2502.6672721177083,10236257918.833096
ethereum,2025-07-01,2488.190781689803,16306915984.938057
ethereum,2025-07-02,2405.1045592800183,12933967031.524445
ethereum,2025-07-03,2574.067718495133,21862573614.17975
ethereum,2025-07-04,2590.132231590221,19823369642.62606
ethereum,2025-07-05,2509.236345783362,16377116416.187033
ethereum,2025-07-06,2517.37917835065,6801276942.284494
ethereum,2025-07-07,2571.358192115984,9051659015.949968
ethereum,2025-07-08,2543.6317028067488,15947822897.049152
ethereum,2025-07-09,2615.7759888945047,14750377128.581297
ethereum,2025-07-10,2772.5795626609174,26626246774.244656
ethereum,2025-07-11,2948.4462027029053,39308824585.23128
ethereum,2025-07-12,2958.8514450990992,42455550664.554665
ethereum,2025-07-13,2942.9616055388096,17472135946.60354
ethereum,2025-07-14,2974.2654952333387,18605172049.08777
ethereum,2025-07-15,3012.179706905928,41336421998.04408
ethereum,2025-07-16,3133.069857747011,43416230283.76601
ethereum,2025-07-17,3368.126521526108,54882159731.0286
ethereum,2025-07-18,3481.8828152374017,45678965280.66659
ethereum,2025-07-19,3547.317079001209,72535524453.98022
ethereum,2025-07-20,3594.3185010809702,27017909119.384834
ethereum,2025-07-21,3758.605581813957,55175056732.09093
ethereum,2025-07-22,3765.453624023574,47245582310.60992
ethereum,2025-07-23,3746.940668731632,52357062545.19388
ethereum,2025-07-24,3630.053531480921,47655045407.89862
ethereum,2025-07-25,3708.4299352383423,47332291813.01175
ethereum,2025-07-26,3723.05290927856,48622472830.12327
ethereum,2025-07-27,3742.431425865992,25352434514.72998
ethereum,2025-07-28,3864.124837465477,26045280361.31318
ethereum,2025-07-29,3786.303845995956,38743589826.42135
ethereum,2025-07-30,3788.598371605823,34923369443.87463
ethereum,2025-07-31,3807.4166010824174,28710848449.745983
ethereum,2025-08-01,3696.66285308512,31312115686.896267
