unique_id,ds,y,volume
bitcoin,2025-03-12,82799.1080292053,56404462275.083046
bitcoin,2025-03-13,83884.24578828987,41782186208.59073
bitcoin,2025-03-14,81098.90052436228,32583592654.882656
bitcoin,2025-03-15,83971.70916064628,28571483950.07465
bitcoin,2025-03-16,84391.69087647168,10761796127.312485
bitcoin,2025-03-17,82610.61750343916,21638031633.118767
bitcoin,2025-03-18,84075.36559694471,19659366246.596867
bitcoin,2025-03-19,82780.03048688271,24557570268.85276
bitcoin,2025-03-20,86815.44109470697,33871216993.304657
bitcoin,2025-03-21,84270.84358966233,27579127651.06656
bitcoin,2025-03-22,84009.532917822,18091004975.919056
bitcoin,2025-03-23,83793.30854192551,7771134681.982918
bitcoin,2025-03-24,85787.70914901773,12617587530.619724
bitcoin,2025-03-25,87327.72969669085,27270889835.1835
bitcoin,2025-03-26,87520.58391530563,30351832942.7056
bitcoin,2025-03-27,86960.8555491039,25522877558.70056
bitcoin,2025-03-28,87227.27158032371,24620445368.489468
bitcoin,2025-03-29,84359.46915506005,31674486232.09732
bitcoin,2025-03-30,82679.17255385047,16837439419.924389
bitcoin,2025-03-31,82356.38111183756,13428975108.070734
bitcoin,2025-04-01,82514.09365397849,30326148749.91535
bitcoin,2025-04-02,85237.5876052852,29172899851.734768
bitcoin,2025-04-03,82526.4221526433,46332905657.77597
bitcoin,2025-04-04,83163.98757387721,36594464539.14662
bitcoin,2025-04-05,83852.00765399594,35647289400.47406
bitcoin,2025-04-06,83595.88550177493,14910400035.531416
bitcoin,2025-04-07,78211.48358199988,36140377231.68329
bitcoin,2025-04-08,79179.29226757778,82909748172.59216
bitcoin,2025-04-09,76329.090356324,47812787635.22632
bitcoin,2025-04-10,82622.17029546302,87408220482.11568
bitcoin,2025-04-11,79596.35732250768,41213520154.25157
bitcoin,2025-04-12,83439.28818043756,39813566443.76779
bitcoin,2025-04-13,85305.09728392666,22428929482.06912
bitcoin,2025-04-14,83600.82010054543,28731125717.93436
bitcoin,2025-04-15,84523.4524914945,33155578229.34352
bitcoin,2025-04-16,83656.49248858042,25084671427.622566
bitcoin,2025-04-17,84105.77942167096,26948109141.803364
bitcoin,2025-04-18,84930.90857600998,19323821375.14309
bitcoin,2025-04-19,84433.75017215389,9550691272.782003
bitcoin,2025-04-20,85126.66244301842,12635983530.804457
bitcoin,2025-04-21,85073.16544858096,12625843856.313684
bitcoin,2025-04-22,87452.04699068287,40070025414.28289
bitcoin,2025-04-23,93576.1658857398,53841992235.36636
bitcoin,2025-04-24,93605.45230873208,39901515879.65954
bitcoin,2025-04-25,93872.81422867288,30031246761.09345
bitcoin,2025-04-26,94773.11200643536,39336184715.04292
bitcoin,2025-04-27,94644.06637120109,15445392739.787264
bitcoin,2025-04-28,93809.33781968225,15926259371.05796
bitcoin,2025-04-29,95030.60645474444,31913814736.53902
bitcoin,2025-04-30,94256.35946318062,25882629766.278942
bitcoin,2025-05-01,94235.75331048168,26541700309.366142
bitcoin,2025-05-02,96426.94522273028,30207566405.46884
bitcoin,2025-05-03,96855.5681343944,23276376191.483967
bitcoin,2025-05-04,95922.86842404422,13797554863.642817
bitcoin,2025-05-05,94326.62048529249,14903122945.616686
bitcoin,2025-05-06,94758.8237105546,24086456278.20385
bitcoin,2025-05-07,96854.53198815876,23348052607.07188
bitcoin,2025-05-08,97026.493769668,64376174032.08048
bitcoin,2025-05-09,103076.27555512934,50020047720.65604
bitcoin,2025-05-10,102962.540456923,40800894903.23446
bitcoin,2025-05-11,104630.8792994166,21558992540.04244
bitcoin,2025-05-12,103994.061616746,27389436049.454792
bitcoin,2025-05-13,102876.8304286011,43090605819.36596
bitcoin,2025-05-14,104184.49039270742,33861432519.50822
bitcoin,2025-05-15,103594.42575090707,28398245846.798244
bitcoin,2025-05-16,103708.8513642364,31823340473.339912
bitcoin,2025-05-17,103556.03493982446,25887953182.14765
